


maiha;dsl_accessor;open;Esad Hajdarevic;Tue Aug 10 23:49:05 BRT 2010;null;1897;
rubyspec;mspec;closed;Kenichi Kamiya;Fri Jun 14 01:36:45 BRT 2013;Wed Jan 08 06:49:26 BRST 2014;208;
rubyspec;mspec;closed;Chris Seaton;Thu Jun 13 21:23:53 BRT 2013;Wed Jan 08 16:57:50 BRST 2014;208;
rubyspec;mspec;closed;Elia Schito;Sat Jun 08 10:07:59 BRT 2013;Sat Jun 08 12:58:58 BRT 2013;0;
rubyspec;mspec;open;Chris Seaton;Sat Jun 08 03:08:14 BRT 2013;null;865;
rubyspec;mspec;closed;Ryo Onodera;Mon Mar 25 12:00:40 BRT 2013;Mon Jun 03 19:16:38 BRT 2013;70;
rubyspec;mspec;closed;Tim Felgentreff;Fri Feb 08 11:28:42 BRST 2013;Fri Feb 08 15:49:57 BRST 2013;0;
rubyspec;mspec;closed;Shugo Maeda;Thu Jan 10 14:52:10 BRST 2013;Thu Jan 10 16:04:05 BRST 2013;0;
rubyspec;mspec;closed;mkb;Wed Dec 05 23:31:55 BRST 2012;Thu Dec 06 15:41:25 BRST 2012;0;
rubyspec;mspec;closed;Alex Gaynor;Wed Oct 31 00:42:57 BRST 2012;Wed Oct 31 00:45:37 BRST 2012;0;
rubyspec;mspec;open;Alex Gaynor;Wed Oct 03 18:48:14 BRT 2012;null;1112;
rubyspec;mspec;closed;Ryo Onodera;Sun Sep 30 13:20:07 BRT 2012;Wed Oct 03 16:48:20 BRT 2012;3;
rubyspec;mspec;closed;Vít Ondruch;Mon Sep 24 12:14:55 BRT 2012;Wed Oct 03 16:47:28 BRT 2012;9;
rubyspec;mspec;closed;Hiroshi Shirosaki;Sun Sep 09 09:49:30 BRT 2012;Sun Sep 23 23:43:36 BRT 2012;14;
rubyspec;mspec;closed;Benoit Daloze;Sun Jul 29 08:56:26 BRT 2012;Sun Dec 30 20:06:00 BRST 2012;154;
rubyspec;mspec;closed;Roger Pack;Wed Jun 27 18:54:05 BRT 2012;Wed Oct 03 16:49:38 BRT 2012;97;
rubyspec;mspec;open;null;Sun May 27 06:29:06 BRT 2012;null;1242;
rubyspec;mspec;open;John Firebaugh;Sat Apr 14 15:11:58 BRT 2012;null;1284;
rubyspec;mspec;closed;NARUSE, Yui;Thu Apr 12 20:23:06 BRT 2012;Sat Apr 14 19:42:12 BRT 2012;1;
rubyspec;mspec;open;John Firebaugh;Sun Mar 11 14:29:42 BRT 2012;null;1318;
rubyspec;mspec;closed;John Firebaugh;Thu Mar 01 19:08:40 BRT 2012;Thu Mar 01 20:00:26 BRT 2012;0;
rubyspec;mspec;closed;John Firebaugh;Thu Mar 01 17:56:10 BRT 2012;Thu Mar 01 19:07:22 BRT 2012;0;
rubyspec;mspec;closed;John Firebaugh;Sun Feb 05 23:46:38 BRST 2012;Wed Oct 03 16:51:21 BRT 2012;240;
rubyspec;mspec;closed;Jesse Cooke;Tue Jan 10 00:07:48 BRST 2012;Tue Jan 10 04:20:37 BRST 2012;0;
rubyspec;mspec;closed;Jesse Cooke;Mon Jan 09 06:03:59 BRST 2012;Mon Jan 09 20:28:24 BRST 2012;0;
rubyspec;mspec;closed;Jesse Cooke;Mon Jan 09 05:26:09 BRST 2012;Mon Jan 09 05:28:11 BRST 2012;0;
rubyspec;mspec;closed;John Firebaugh;Fri Dec 09 19:28:54 BRST 2011;Fri Dec 09 20:10:56 BRST 2011;0;
rubyspec;mspec;open;Brian Shirai;Mon Dec 05 16:53:15 BRST 2011;null;1415;
rubyspec;mspec;closed;John Firebaugh;Sun Dec 04 04:57:20 BRST 2011;Mon Dec 05 16:54:19 BRST 2011;1;
rubyspec;mspec;closed;Deleted user;Thu Dec 01 09:48:54 BRST 2011;Fri Dec 09 20:10:58 BRST 2011;8;
rubyspec;mspec;closed;Tim Felgentreff;Sun Nov 13 12:02:28 BRST 2011;Sun Nov 13 14:18:26 BRST 2011;0;
rubyspec;mspec;closed;Tim Felgentreff;Thu Oct 27 00:57:04 BRST 2011;Fri Oct 28 13:33:29 BRST 2011;1;
rubyspec;mspec;closed;NARUSE, Yui;Thu Oct 20 10:25:36 BRST 2011;Thu Oct 20 11:55:14 BRST 2011;0;
rubyspec;mspec;closed;null;Tue Aug 16 23:36:13 BRT 2011;Wed Aug 17 02:37:10 BRT 2011;0;
rubyspec;mspec;closed;Brian Shirai;Tue Jul 12 20:51:20 BRT 2011;Thu Mar 15 17:53:15 BRT 2012;246;
rubyspec;mspec;open;Chris Gahan;Sat Jun 18 16:40:57 BRT 2011;null;1585;
rubyspec;mspec;open;Karol Hosiawa;Wed Jun 08 19:25:51 BRT 2011;null;1595;
rubyspec;mspec;closed;Gibheer;Tue May 03 07:55:05 BRT 2011;Wed May 04 15:23:39 BRT 2011;1;
rubyspec;mspec;closed;Gibheer;Tue May 03 07:23:48 BRT 2011;Tue May 03 07:27:14 BRT 2011;0;
rubyspec;mspec;closed;Alex Young;Fri Mar 18 05:56:45 BRT 2011;Tue Jul 12 21:09:19 BRT 2011;116;
rubyspec;mspec;closed;Charles Oliver Nutter;Fri Dec 10 03:55:38 BRST 2010;Fri Dec 10 12:00:00 BRST 2010;0;
rubyspec;mspec;open;null;Tue Jun 30 17:31:19 BRT 2009;null;2303;
rubyspec;mspec;open;null;Tue Jun 30 14:59:17 BRT 2009;null;2303;



ukstudio;acts_as_bits;closed;SHIBATA Hiroshi;Wed Aug 20 11:46:19 BRT 2014;Wed Aug 20 22:38:28 BRT 2014;0;
ukstudio;acts_as_bits;closed;AKAMATSU Yuki;Tue Apr 08 10:00:27 BRT 2014;Thu Apr 10 05:17:27 BRT 2014;1;
ukstudio;acts_as_bits;closed;AKAMATSU Yuki;Thu Apr 03 00:44:48 BRT 2014;Thu Apr 03 00:47:17 BRT 2014;0;








tenderlove;betabrite;open;Vincent Wilson;Sun Aug 17 15:19:55 BRT 2014;null;429;





















ariya;screenie;open;null;Thu Apr 05 09:10:33 BRT 2012;null;1294;
ariya;screenie;open;?ukasz Jerna?;Thu Jan 07 19:02:11 BRST 2010;null;2112;








72squared;glu-php;closed;Jakob Heuser;Mon Jan 24 18:21:22 BRST 2011;Tue Jan 25 16:45:04 BRST 2011;0;












mbleigh;subdomain-fu;open;Udaya Kiran;Tue Sep 29 06:21:56 BRT 2015;null;22;
mbleigh;subdomain-fu;closed;Jared Beck;Mon Dec 29 21:23:24 BRST 2014;Sun Feb 15 12:50:37 BRST 2015;47;
mbleigh;subdomain-fu;open;null;Thu Nov 28 13:05:19 BRST 2013;null;691;
mbleigh;subdomain-fu;closed;Rishav Rastogi;Fri Jul 26 16:56:57 BRT 2013;Fri Jul 26 18:03:57 BRT 2013;0;
mbleigh;subdomain-fu;open;Piotr Usewicz;Sun May 26 06:02:05 BRT 2013;null;878;
mbleigh;subdomain-fu;open;null;Sat Oct 13 12:54:09 BRT 2012;null;1102;
mbleigh;subdomain-fu;open;Ilya N. Zykin;Wed Aug 29 02:54:13 BRT 2012;null;1148;
mbleigh;subdomain-fu;closed;Ilya N. Zykin;Tue Aug 28 09:44:58 BRT 2012;Wed Aug 29 02:46:46 BRT 2012;0;
mbleigh;subdomain-fu;open;Robert Shedd;Fri Apr 20 13:37:53 BRT 2012;null;1278;
mbleigh;subdomain-fu;closed;dieu;Wed Mar 21 06:28:01 BRT 2012;Mon Mar 26 23:48:41 BRT 2012;5;
mbleigh;subdomain-fu;closed;Chris Austin;Tue Dec 20 10:40:57 BRST 2011;Tue Dec 20 10:53:23 BRST 2011;0;
mbleigh;subdomain-fu;open;null;Fri Jul 22 15:07:41 BRT 2011;null;1551;
mbleigh;subdomain-fu;open;Kyle VanderBeek;Fri Jun 24 20:03:05 BRT 2011;null;1579;
mbleigh;subdomain-fu;closed;Peter Boling;Fri Jun 24 18:51:14 BRT 2011;Tue Mar 06 17:02:19 BRT 2012;255;
mbleigh;subdomain-fu;open;Greg Hazel;Wed May 04 21:28:15 BRT 2011;null;1630;
mbleigh;subdomain-fu;open;Greg Hazel;Tue May 03 06:56:33 BRT 2011;null;1632;
mbleigh;subdomain-fu;open;Greg Hazel;Mon May 02 04:38:24 BRT 2011;null;1633;
mbleigh;subdomain-fu;open;Michael Rykov;Wed Sep 01 19:47:58 BRT 2010;null;1875;
mbleigh;subdomain-fu;open;Andy Hartford;Tue Aug 31 20:01:54 BRT 2010;null;1876;
mbleigh;subdomain-fu;open;César Cejudo;Sun Aug 08 01:28:55 BRT 2010;null;1900;
mbleigh;subdomain-fu;closed;Ben Schwarz;Thu Aug 05 12:05:22 BRT 2010;Mon Oct 06 17:56:14 BRT 2014;1523;
mbleigh;subdomain-fu;open;null;Thu Aug 05 07:31:35 BRT 2010;null;1903;
mbleigh;subdomain-fu;open;Sean McCullough;Sun Jul 11 20:52:34 BRT 2010;null;1927;
mbleigh;subdomain-fu;open;null;Sun May 09 22:52:38 BRT 2010;null;1990;
mbleigh;subdomain-fu;open;Alexandru Catighera;Wed Mar 31 19:02:11 BRT 2010;null;2029;
mbleigh;subdomain-fu;open;Jan Schwenzien;Thu Mar 25 08:23:34 BRT 2010;null;2036;
mbleigh;subdomain-fu;closed;Alfred;Fri Mar 12 16:50:41 BRT 2010;Sat Mar 13 09:23:46 BRT 2010;0;
mbleigh;subdomain-fu;open;Emery Finkelstein;Thu Feb 11 20:48:06 BRST 2010;null;2077;
mbleigh;subdomain-fu;closed;Ben Schwarz;Wed Feb 10 03:03:44 BRST 2010;Mon Oct 06 17:55:56 BRT 2014;1699;
mbleigh;subdomain-fu;open;Emil Kampp;Sun Jan 10 23:51:09 BRST 2010;null;2109;
mbleigh;subdomain-fu;open;Al-Faisal El-Dajani;Wed Dec 30 12:11:08 BRST 2009;null;2120;
mbleigh;subdomain-fu;closed;Josh Nichols;Wed Dec 02 21:52:37 BRST 2009;Fri Oct 31 19:29:19 BRST 2014;1793;
mbleigh;subdomain-fu;closed;Josh Nichols;Wed Dec 02 20:00:05 BRST 2009;Fri Oct 31 19:27:07 BRST 2014;1793;
mbleigh;subdomain-fu;open;Miha Rebernik;Fri Sep 04 08:26:55 BRT 2009;null;2238;


hoverbird;chance;closed;Raphael Campardou;Tue Sep 17 09:16:30 BRT 2013;Mon Sep 23 23:47:21 BRT 2013;6;







