



sintaxi;pmpknpi;open;Deleted user;Tue Jan 21 16:11:11 BRST 2014;null;627;
mislav;will_paginate;open;null;Tue Dec 02 17:20:22 BRST 2014;null;312;
mislav;will_paginate;open;wendy kurniawan soesanto;Wed Nov 26 13:34:12 BRST 2014;null;318;
mislav;will_paginate;open;null;Wed Nov 26 00:25:05 BRST 2014;null;318;
mislav;will_paginate;open;null;Wed Nov 12 07:43:41 BRST 2014;null;332;
mislav;will_paginate;open;wendy kurniawan soesanto;Sun Nov 09 23:27:01 BRST 2014;null;334;
mislav;will_paginate;open;Olivier Lacan;Wed Nov 05 07:00:16 BRST 2014;null;339;
mislav;will_paginate;open;Jim Nelson;Thu Oct 30 18:29:18 BRST 2014;null;345;
mislav;will_paginate;open;EmmanuelSTs;Fri Oct 24 13:12:23 BRST 2014;null;351;
mislav;will_paginate;open;Tom Kadwill;Wed Oct 15 08:57:07 BRT 2014;null;360;
mislav;will_paginate;closed;charly;Wed Oct 15 07:01:17 BRT 2014;Tue Oct 21 09:04:44 BRST 2014;6;
mislav;will_paginate;open;Nathan;Mon Oct 13 23:15:59 BRT 2014;null;361;
mislav;will_paginate;closed;null;Mon Oct 13 09:22:21 BRT 2014;Mon Oct 13 10:12:24 BRT 2014;0;
mislav;will_paginate;open;null;Thu Oct 09 04:13:37 BRT 2014;null;366;
mislav;will_paginate;closed;Rune Philosof;Thu Sep 25 02:36:48 BRT 2014;Thu Sep 25 17:23:37 BRT 2014;0;
mislav;will_paginate;open;Terry Meacham;Wed Sep 24 17:18:30 BRT 2014;null;381;
mislav;will_paginate;closed;null;Wed Sep 17 07:11:01 BRT 2014;Wed Sep 17 14:12:01 BRT 2014;0;
mislav;will_paginate;open;Warren H. Prince;Tue Sep 16 21:04:40 BRT 2014;null;389;
mislav;will_paginate;closed;Oliver Bock;Mon Aug 18 16:11:54 BRT 2014;Mon Aug 18 16:47:42 BRT 2014;0;
mislav;will_paginate;open;null;Fri Aug 15 12:32:37 BRT 2014;null;421;
mislav;will_paginate;open;null;Mon Jul 21 06:04:14 BRT 2014;null;446;
mislav;will_paginate;closed;Sergey;Sat Jul 19 07:20:12 BRT 2014;Mon Jul 21 14:52:13 BRT 2014;2;
mislav;will_paginate;open;null;Fri Jul 18 17:04:41 BRT 2014;null;449;
mislav;will_paginate;open;Eda Riedl;Sun Jul 13 14:01:55 BRT 2014;null;454;
mislav;will_paginate;open;Dmitry Shmelev;Sat Jul 05 11:15:16 BRT 2014;null;462;
mislav;will_paginate;closed;Nathan Youngman;Wed Jul 02 18:54:53 BRT 2014;Fri Jul 04 14:57:35 BRT 2014;1;
mislav;will_paginate;closed;null;Tue Jul 01 05:06:27 BRT 2014;Tue Jul 01 08:16:49 BRT 2014;0;
mislav;will_paginate;closed;null;Tue Jul 01 02:40:28 BRT 2014;Tue Jul 01 03:39:43 BRT 2014;0;
mislav;will_paginate;closed;Joe Van Dyk;Mon Jun 30 18:30:22 BRT 2014;Tue Jul 01 09:17:46 BRT 2014;0;
mislav;will_paginate;closed;Dan Rice;Fri Jun 27 18:12:40 BRT 2014;Sat Jun 28 16:44:35 BRT 2014;0;
mislav;will_paginate;closed;Dan Rice;Fri Jun 27 18:01:27 BRT 2014;Fri Jun 27 20:15:54 BRT 2014;0;
mislav;will_paginate;open;Tom Smyth;Fri Jun 27 12:15:38 BRT 2014;null;470;
mislav;will_paginate;closed;Jezen Thomas;Sun Jun 22 06:05:13 BRT 2014;Tue Jul 01 12:39:58 BRT 2014;9;
mislav;will_paginate;open;Mohamed El Mahallawy;Thu Jun 19 16:28:04 BRT 2014;null;478;
mislav;will_paginate;open;Nathan Youngman;Wed Jun 18 14:56:29 BRT 2014;null;479;
mislav;will_paginate;closed;Nathan Youngman;Wed Jun 18 13:35:05 BRT 2014;Thu Jun 19 13:41:06 BRT 2014;1;
mislav;will_paginate;closed;Nathan Youngman;Tue Jun 17 15:57:47 BRT 2014;Wed Jun 18 02:00:08 BRT 2014;0;
mislav;will_paginate;closed;Nathan Youngman;Mon Jun 16 20:20:46 BRT 2014;Tue Jun 17 10:31:48 BRT 2014;0;
mislav;will_paginate;open;null;Fri Jun 13 16:59:11 BRT 2014;null;484;
mislav;will_paginate;closed;null;Thu Jun 12 14:15:09 BRT 2014;Wed Jun 18 02:03:09 BRT 2014;5;
mislav;will_paginate;closed;Steven Noble;Thu Jun 12 01:51:06 BRT 2014;Wed Jun 18 09:46:53 BRT 2014;6;
mislav;will_paginate;closed;null;Wed Jun 11 17:12:57 BRT 2014;Wed Jun 18 02:07:05 BRT 2014;6;
mislav;will_paginate;closed;Richard Schneeman;Tue Jun 10 12:33:19 BRT 2014;Wed Jun 18 02:00:08 BRT 2014;7;
mislav;will_paginate;closed;Brian Alexander;Sat May 31 16:19:10 BRT 2014;Wed Jun 18 03:02:40 BRT 2014;17;
mislav;will_paginate;closed;Nathan Youngman;Fri May 30 16:53:57 BRT 2014;Tue Jun 17 15:57:13 BRT 2014;17;
mislav;will_paginate;closed;Nathan Youngman;Fri May 30 15:28:52 BRT 2014;Fri May 30 16:55:43 BRT 2014;0;
mislav;will_paginate;closed;Ilya Levin;Mon May 26 11:49:37 BRT 2014;Wed Jun 18 02:25:53 BRT 2014;22;
mislav;will_paginate;closed;Tom Wey;Sun May 18 15:10:46 BRT 2014;Thu May 22 05:22:15 BRT 2014;3;
mislav;will_paginate;closed;David Muto;Fri May 09 22:33:40 BRT 2014;Sun Jun 29 21:56:38 BRT 2014;50;
mislav;will_paginate;closed;Luis Pablo;Tue May 06 11:46:29 BRT 2014;Wed Jun 18 03:29:50 BRT 2014;42;
mislav;will_paginate;closed;null;Wed Apr 23 12:06:20 BRT 2014;Wed Jun 18 03:10:50 BRT 2014;55;
mislav;will_paginate;open;Damian Nowak;Tue Apr 22 21:58:01 BRT 2014;null;535;
mislav;will_paginate;closed;Eda Riedl;Fri Apr 11 07:25:28 BRT 2014;Thu Jun 19 02:25:44 BRT 2014;68;
mislav;will_paginate;closed;Alexey Pokhozhaev;Wed Apr 09 21:09:23 BRT 2014;Wed Jun 18 03:39:34 BRT 2014;69;
mislav;will_paginate;closed;Leonardo Schlossmacher;Wed Apr 02 08:17:28 BRT 2014;Wed Jun 18 03:00:08 BRT 2014;76;
mislav;will_paginate;closed;null;Mon Mar 31 23:04:36 BRT 2014;Wed Jun 18 02:39:59 BRT 2014;78;
mislav;will_paginate;closed;Robert Reiz;Sun Mar 30 16:39:04 BRT 2014;Mon Mar 31 03:01:38 BRT 2014;0;
mislav;will_paginate;open;Cédric Bousmanne;Mon Mar 17 11:06:24 BRT 2014;null;572;
mislav;will_paginate;closed;Paul King;Thu Mar 13 12:27:23 BRT 2014;Wed Jun 18 03:15:59 BRT 2014;96;
mislav;will_paginate;open;Mark Rickert;Wed Mar 12 12:33:16 BRT 2014;null;577;
mislav;will_paginate;open;Chuck Preslar;Tue Mar 11 17:03:54 BRT 2014;null;578;
mislav;will_paginate;open;Sergey Novik;Sat Mar 08 02:18:38 BRT 2014;null;581;
mislav;will_paginate;closed;Oren Dobzinski;Tue Mar 04 16:50:29 BRT 2014;Tue Mar 04 16:57:40 BRT 2014;0;
mislav;will_paginate;closed;Dieglock;Sun Mar 02 17:17:31 BRT 2014;Wed Jun 18 03:42:08 BRT 2014;107;
mislav;will_paginate;closed;Aaron Craig;Wed Feb 26 08:24:41 BRT 2014;Fri Mar 07 08:00:40 BRT 2014;8;
mislav;will_paginate;closed;Daniel Dimitrov;Mon Feb 24 13:05:29 BRT 2014;Wed Jun 18 03:44:18 BRT 2014;113;
mislav;will_paginate;closed;Patrick;Wed Feb 05 09:07:36 BRST 2014;Thu Feb 06 09:49:44 BRST 2014;1;
mislav;will_paginate;closed;Evie;Mon Feb 03 13:34:57 BRST 2014;Mon Feb 03 15:58:14 BRST 2014;0;
mislav;will_paginate;closed;Michael Irey;Mon Jan 27 15:18:17 BRST 2014;Wed Jun 18 03:28:07 BRT 2014;141;
mislav;will_paginate;open;Max Calabrese;Fri Jan 24 10:54:49 BRST 2014;null;624;
mislav;will_paginate;closed;Anil Kumar Maurya;Tue Jan 21 08:35:24 BRST 2014;Tue Jun 17 14:23:22 BRT 2014;147;
mislav;will_paginate;closed;null;Mon Jan 20 04:54:08 BRST 2014;Wed Jun 18 02:42:58 BRT 2014;148;
mislav;will_paginate;closed;Maximiliano Cáceres;Thu Jan 16 01:02:39 BRST 2014;Wed Jun 18 02:41:21 BRT 2014;153;
mislav;will_paginate;closed;Emad Elsaid;Wed Jan 15 18:54:03 BRST 2014;Sun Feb 02 22:29:27 BRST 2014;18;
mislav;will_paginate;closed;Salimane Adjao Moustapha;Fri Dec 27 12:32:35 BRST 2013;Wed Jun 18 01:07:30 BRT 2014;172;
mislav;will_paginate;open;Damien Vouriot;Tue Dec 17 08:01:02 BRST 2013;null;662;
mislav;will_paginate;closed;Mike Gunderloy;Sat Dec 14 18:37:12 BRST 2013;Wed Jun 18 02:24:53 BRT 2014;185;
mislav;will_paginate;closed;Michael Simpson;Wed Dec 11 16:24:11 BRST 2013;Wed Dec 11 19:32:41 BRST 2013;0;
mislav;will_paginate;closed;Liu Xiao;Wed Dec 11 05:39:00 BRST 2013;Thu Jan 23 04:42:07 BRST 2014;42;
mislav;will_paginate;closed;Liu Xiao;Wed Dec 11 01:58:42 BRST 2013;Wed Dec 11 01:58:56 BRST 2013;0;
mislav;will_paginate;closed;null;Sat Nov 23 23:23:32 BRST 2013;Fri Feb 28 19:33:31 BRT 2014;96;
mislav;will_paginate;open;Yap Sok Ann;Thu Oct 31 05:48:31 BRST 2013;null;709;
mislav;will_paginate;closed;Steve Klebanoff;Mon Oct 07 20:15:07 BRT 2013;Sun Mar 09 16:34:26 BRT 2014;152;
mislav;will_paginate;open;Lukas Alexandre;Mon Sep 30 01:30:30 BRT 2013;null;740;
mislav;will_paginate;closed;Carlos Montalvo;Wed Sep 25 19:28:38 BRT 2013;Fri Sep 27 08:15:56 BRT 2013;1;
mislav;will_paginate;closed;Ruben Espinosa;Tue Sep 24 16:18:26 BRT 2013;Fri Sep 27 12:14:24 BRT 2013;2;
mislav;will_paginate;open;Claudel Sylvain;Mon Sep 23 06:16:44 BRT 2013;null;747;
mislav;will_paginate;closed;Chandresh Pant;Sun Sep 22 23:23:59 BRT 2013;Mon Sep 23 15:05:23 BRT 2013;0;
mislav;will_paginate;closed;Sukhwinder Singh Tambar;Fri Sep 20 09:07:20 BRT 2013;Fri Sep 27 07:59:13 BRT 2013;6;
mislav;will_paginate;open;wang jun;Wed Sep 04 03:37:33 BRT 2013;null;766;
mislav;will_paginate;open;Alex Leschenko;Mon Aug 26 17:57:03 BRT 2013;null;775;
mislav;will_paginate;open;Vít Ondruch;Wed Aug 21 08:45:43 BRT 2013;null;780;
mislav;will_paginate;closed;null;Thu Aug 15 22:21:10 BRT 2013;Wed Jun 18 01:58:31 BRT 2014;306;
mislav;will_paginate;open;Lex;Mon Aug 12 08:59:43 BRT 2013;null;789;
mislav;will_paginate;open;Wojciech Piekutowski;Tue Aug 06 10:32:37 BRT 2013;null;795;
mislav;will_paginate;closed;Micah Geisel;Wed Jul 31 20:10:06 BRT 2013;Tue Aug 06 05:08:31 BRT 2013;5;
mislav;will_paginate;closed;Peter Goldstein;Mon Jul 29 04:01:21 BRT 2013;Sat Aug 23 17:47:56 BRT 2014;390;
mislav;will_paginate;closed;Michael Lajlev;Sat Jul 27 04:28:46 BRT 2013;Sat Jul 27 04:38:39 BRT 2013;0;
mislav;will_paginate;open;null;Mon Jul 22 23:13:58 BRT 2013;null;809;
mislav;will_paginate;open;Raphael Crawford-Marks;Thu Jul 18 15:43:23 BRT 2013;null;814;
mislav;will_paginate;open;Lloyd;Tue Jul 16 00:31:35 BRT 2013;null;816;
mislav;will_paginate;closed;Oleg;Mon Jul 15 13:45:18 BRT 2013;Mon Jul 15 17:14:25 BRT 2013;0;
mislav;will_paginate;open;Mike Gunderloy;Sat Jul 13 09:38:24 BRT 2013;null;819;
mislav;will_paginate;open;Stanley Handschuh;Fri Jul 12 12:11:59 BRT 2013;null;820;
mislav;will_paginate;open;Tamer Shlash;Thu Jul 11 17:54:15 BRT 2013;null;821;
mislav;will_paginate;closed;Oleg;Thu Jul 11 17:19:41 BRT 2013;Wed Aug 14 00:09:50 BRT 2013;33;
mislav;will_paginate;closed;Maxwell Salzberg;Thu Jul 04 18:51:11 BRT 2013;Thu Jul 04 19:41:17 BRT 2013;0;
mislav;will_paginate;closed;Jacek Szlachta;Wed Jul 03 20:06:58 BRT 2013;Thu Jul 04 19:37:52 BRT 2013;0;
mislav;will_paginate;closed;Chun Pan (Billy);Thu Jun 20 19:41:48 BRT 2013;Mon Jun 24 10:32:18 BRT 2013;3;
mislav;will_paginate;closed;Tad Hosford;Thu Jun 20 17:06:52 BRT 2013;Thu Jun 20 20:08:13 BRT 2013;0;
mislav;will_paginate;open;Gaurav Midha;Thu Jun 20 04:37:15 BRT 2013;null;842;
mislav;will_paginate;closed;Ryan Alyea;Mon Jun 03 02:21:56 BRT 2013;Mon Jun 03 02:29:44 BRT 2013;0;
mislav;will_paginate;closed;Tieg Zaharia;Tue May 21 17:07:05 BRT 2013;Wed May 22 08:41:50 BRT 2013;0;
mislav;will_paginate;closed;Sergio Brocos;Tue May 21 08:21:26 BRT 2013;Tue May 21 08:34:40 BRT 2013;0;
mislav;will_paginate;open;null;Wed May 15 13:03:34 BRT 2013;null;878;
mislav;will_paginate;closed;Pawe? Pacana;Wed May 15 05:36:06 BRT 2013;Fri Jun 21 12:47:55 BRT 2013;37;
mislav;will_paginate;closed;Andrew Yasinishyn;Sun Apr 28 15:20:41 BRT 2013;Mon Apr 29 10:42:19 BRT 2013;0;
mislav;will_paginate;closed;gmgp;Fri Apr 19 12:12:06 BRT 2013;Wed Jun 18 03:49:01 BRT 2014;424;
mislav;will_paginate;closed;David;Thu Apr 11 13:27:21 BRT 2013;Thu Apr 11 14:36:17 BRT 2013;0;
mislav;will_paginate;closed;Robin Doer;Wed Apr 10 06:29:24 BRT 2013;Wed Apr 10 12:22:40 BRT 2013;0;
mislav;will_paginate;closed;Troy Murray;Thu Apr 04 16:23:23 BRT 2013;Thu Apr 04 17:05:47 BRT 2013;0;
mislav;will_paginate;closed;Daniel Vartanov;Wed Apr 03 08:02:49 BRT 2013;Wed Jun 18 02:00:08 BRT 2014;440;
mislav;will_paginate;closed;null;Tue Apr 02 16:18:25 BRT 2013;Tue Apr 02 18:00:30 BRT 2013;0;
mislav;will_paginate;closed;Drew Prentice;Tue Mar 19 02:44:44 BRT 2013;Tue Mar 19 13:13:11 BRT 2013;0;
mislav;will_paginate;closed;Yavor Ivanov;Mon Mar 11 11:18:11 BRT 2013;Mon Mar 11 18:00:07 BRT 2013;0;
mislav;will_paginate;closed;FlyboyArt;Mon Mar 11 09:35:13 BRT 2013;Mon Mar 11 17:34:40 BRT 2013;0;
mislav;will_paginate;closed;Duncan Bayne;Thu Mar 07 09:25:01 BRT 2013;Thu Mar 07 12:02:41 BRT 2013;0;
mislav;will_paginate;open;Sujoy Gupta;Tue Mar 05 03:29:46 BRT 2013;null;949;
mislav;will_paginate;closed;null;Thu Feb 28 09:31:53 BRT 2013;Thu Feb 28 09:33:07 BRT 2013;0;
mislav;will_paginate;closed;Ellis Berner;Fri Feb 15 16:35:33 BRST 2013;Mon Feb 18 11:39:51 BRT 2013;2;
mislav;will_paginate;closed;Deleted user;Thu Feb 14 23:03:05 BRST 2013;Mon Feb 18 11:27:19 BRT 2013;3;
mislav;will_paginate;closed;George C. Norris;Thu Feb 14 19:18:58 BRST 2013;Fri Mar 15 11:24:36 BRT 2013;28;
mislav;will_paginate;closed;Jacob V Thomas;Tue Feb 12 03:13:50 BRST 2013;Tue Feb 12 10:27:40 BRST 2013;0;
mislav;will_paginate;closed;Jordi Massaguer Pla;Mon Feb 11 11:20:27 BRST 2013;Mon Jul 08 12:30:52 BRT 2013;147;
mislav;will_paginate;closed;Zachary Nicoll;Tue Feb 05 13:53:37 BRST 2013;Wed Feb 06 01:27:33 BRST 2013;0;
mislav;will_paginate;open;null;Mon Feb 04 11:30:05 BRST 2013;null;978;
mislav;will_paginate;closed;anil galve;Wed Jan 23 04:59:23 BRST 2013;Wed Jan 23 10:07:15 BRST 2013;0;
mislav;will_paginate;open;Marcus Barczak;Sat Jan 12 15:13:13 BRST 2013;null;1001;
mislav;will_paginate;closed;Marcus Barczak;Sat Jan 12 15:11:30 BRST 2013;Sun Jan 13 11:35:36 BRST 2013;0;
mislav;will_paginate;closed;Shivam Patel;Fri Jan 11 23:09:06 BRST 2013;Tue Jun 17 10:31:48 BRT 2014;521;
mislav;will_paginate;closed;Christopher Wu;Wed Jan 09 07:51:30 BRST 2013;Thu Jan 10 01:08:12 BRST 2013;0;
mislav;will_paginate;closed;null;Tue Jan 08 20:34:05 BRST 2013;Tue Jan 08 20:48:10 BRST 2013;0;
mislav;will_paginate;open;Marius Butuc;Fri Jan 04 14:01:42 BRST 2013;null;1009;
mislav;will_paginate;closed;Conrad Taylor;Wed Dec 19 16:44:33 BRST 2012;Thu Jan 10 00:51:34 BRST 2013;21;
mislav;will_paginate;closed;Richard Lewis;Mon Dec 10 17:24:42 BRST 2012;Thu Jan 10 00:54:19 BRST 2013;30;
mislav;will_paginate;closed;null;Mon Dec 03 20:56:57 BRST 2012;Thu Jan 10 00:59:29 BRST 2013;37;
mislav;will_paginate;closed;null;Wed Nov 28 08:03:30 BRST 2012;Thu Jan 10 01:08:12 BRST 2013;42;
mislav;will_paginate;closed;Matthew Bray;Fri Nov 09 15:40:26 BRST 2012;Thu Jan 10 01:09:27 BRST 2013;61;
mislav;will_paginate;closed;Hannes Maack;Thu Nov 08 13:23:00 BRST 2012;Thu Jan 10 00:20:48 BRST 2013;62;
mislav;will_paginate;closed;Hannes Maack;Mon Nov 05 21:12:05 BRST 2012;Tue Nov 06 22:34:12 BRST 2012;1;
mislav;will_paginate;closed;Aaron Stone;Sun Nov 04 05:58:16 BRST 2012;Thu Jan 10 01:52:16 BRST 2013;66;
mislav;will_paginate;closed;Serguei Cambour;Fri Oct 26 12:35:21 BRST 2012;Fri Oct 26 18:48:20 BRST 2012;0;
mislav;will_paginate;closed;Hari;Fri Oct 19 08:48:50 BRT 2012;Sun Oct 21 12:23:58 BRST 2012;2;
mislav;will_paginate;open;Aldis Berjoza;Mon Oct 01 09:16:46 BRT 2012;null;1104;
mislav;will_paginate;closed;Keating;Fri Sep 28 04:04:17 BRT 2012;Thu Jan 10 00:17:56 BRST 2013;103;
mislav;will_paginate;closed;Jordon Bedwell;Wed Sep 26 19:14:52 BRT 2012;Thu Jan 10 01:54:32 BRST 2013;105;
mislav;will_paginate;closed;Paul Nossoff;Sun Sep 23 14:47:02 BRT 2012;Thu Jan 10 01:19:08 BRST 2013;108;
mislav;will_paginate;closed;Marc G Gauthier;Wed Sep 19 12:26:48 BRT 2012;Thu Jan 10 01:56:49 BRST 2013;112;
mislav;will_paginate;closed;Josh Starcher;Thu Sep 13 10:32:33 BRT 2012;Sun Jan 13 11:41:17 BRST 2013;122;
mislav;will_paginate;closed;David Heitzman;Wed Sep 05 09:56:10 BRT 2012;Thu Jan 10 11:41:09 BRST 2013;127;
mislav;will_paginate;closed;David Heitzman;Tue Sep 04 23:46:14 BRT 2012;Thu Jan 10 01:59:00 BRST 2013;127;
mislav;will_paginate;closed;Karim El-Husseiny;Tue Sep 04 12:29:02 BRT 2012;Thu Jan 10 02:01:12 BRST 2013;127;
mislav;will_paginate;closed;Reid Beels;Thu Aug 30 15:56:20 BRT 2012;Wed Sep 18 17:39:29 BRT 2013;384;
mislav;will_paginate;closed;Jay Hayes;Thu Aug 30 13:17:55 BRT 2012;Thu Jan 10 02:17:35 BRST 2013;132;
mislav;will_paginate;closed;Naga Vijayapuram;Wed Aug 29 16:13:38 BRT 2012;Thu Jan 10 02:19:45 BRST 2013;133;
mislav;will_paginate;closed;Malte Büchmann;Sat Aug 25 17:19:26 BRT 2012;Sat Aug 25 17:21:25 BRT 2012;0;
mislav;will_paginate;closed;null;Wed Aug 15 15:58:13 BRT 2012;Wed Aug 15 16:01:30 BRT 2012;0;
mislav;will_paginate;closed;Alan Hogan;Mon Aug 13 19:28:27 BRT 2012;Thu Jan 10 02:18:13 BRST 2013;149;
mislav;will_paginate;closed;Kirill Shnurov;Tue Aug 07 20:11:29 BRT 2012;Thu Jan 10 02:21:17 BRST 2013;155;
mislav;will_paginate;open;John Timms;Mon Jul 30 15:28:27 BRT 2012;null;1167;
mislav;will_paginate;closed;Quentin Rousseau;Wed Jul 25 08:14:51 BRT 2012;Thu Jan 10 01:23:20 BRST 2013;168;
mislav;will_paginate;closed;Kevin Watt;Tue Jul 24 02:57:35 BRT 2012;Thu Jan 10 02:22:24 BRST 2013;169;
mislav;will_paginate;closed;Bryan Larsen;Fri Jul 13 16:25:03 BRT 2012;Thu Jan 10 02:25:55 BRST 2013;180;
mislav;will_paginate;closed;Boban Jovanoski;Mon Jul 09 05:18:59 BRT 2012;Tue Feb 19 08:45:29 BRT 2013;225;
mislav;will_paginate;open;James Burnett;Thu Jul 05 18:56:38 BRT 2012;null;1192;
mislav;will_paginate;closed;Lars Schirrmeister;Wed Jul 04 07:07:17 BRT 2012;Thu Jan 10 02:28:15 BRST 2013;189;
mislav;will_paginate;closed;Tyler Warnock;Fri Jun 29 00:52:04 BRT 2012;Thu Jan 10 02:29:47 BRST 2013;195;
mislav;will_paginate;open;Tamer Salama;Fri Jun 22 13:41:51 BRT 2012;null;1205;
mislav;will_paginate;open;Kamil Politowicz;Thu May 31 17:01:58 BRT 2012;null;1227;
mislav;will_paginate;closed;Ace Suares;Sun May 27 11:08:33 BRT 2012;Thu Jan 10 02:30:37 BRST 2013;227;
mislav;will_paginate;closed;Shayne Kang;Thu May 24 23:38:37 BRT 2012;Thu Jan 10 02:31:17 BRST 2013;230;
mislav;will_paginate;closed;Nicola Junior Vitto;Thu May 24 14:48:13 BRT 2012;Thu Jan 10 02:35:38 BRST 2013;230;
mislav;will_paginate;closed;Markham Anderson;Fri May 18 13:58:34 BRT 2012;Thu Jan 10 00:57:09 BRST 2013;236;
mislav;will_paginate;closed;null;Wed May 16 16:17:46 BRT 2012;Thu Jan 10 02:37:36 BRST 2013;238;
mislav;will_paginate;closed;Jim Dumas;Mon May 14 10:33:43 BRT 2012;Thu Jan 10 11:47:54 BRST 2013;241;
mislav;will_paginate;closed;Nikita Levchuk;Sat Apr 28 17:41:00 BRT 2012;Thu Jan 10 11:27:05 BRST 2013;256;
mislav;will_paginate;closed;Adam Thorsen;Wed Apr 18 15:26:01 BRT 2012;Thu Jan 10 02:43:08 BRST 2013;266;
mislav;will_paginate;closed;Hiroshi Shirosaki;Mon Apr 02 02:06:08 BRT 2012;Thu Jan 10 02:40:38 BRST 2013;283;
mislav;will_paginate;closed;Alex Shi;Fri Mar 30 23:11:43 BRT 2012;Thu Jan 10 02:44:09 BRST 2013;285;
mislav;will_paginate;closed;Agis Anastasopoulos ;Sat Mar 17 17:12:24 BRT 2012;Thu Jan 10 11:45:14 BRST 2013;298;
mislav;will_paginate;closed;Phuong Nguyen;Fri Mar 16 11:02:24 BRT 2012;Thu Jan 10 02:44:33 BRST 2013;299;
mislav;will_paginate;closed;Wlodek Bzyl;Thu Mar 15 18:02:57 BRT 2012;Thu Jan 10 02:46:22 BRST 2013;300;
mislav;will_paginate;open;Mike Mangino;Thu Mar 15 11:00:59 BRT 2012;null;1304;
mislav;will_paginate;closed;Localguiding;Thu Mar 15 10:35:22 BRT 2012;Thu Jan 10 02:47:22 BRST 2013;300;
mislav;will_paginate;closed;santoshkosgi;Mon Mar 12 07:39:24 BRT 2012;Mon Mar 12 08:31:05 BRT 2012;0;
mislav;will_paginate;closed;Bryan Larsen;Fri Mar 02 17:28:34 BRT 2012;Thu Jan 10 02:52:08 BRST 2013;313;
mislav;will_paginate;closed;Bryan Larsen;Fri Mar 02 17:28:02 BRT 2012;Thu Jan 10 01:17:52 BRST 2013;313;
mislav;will_paginate;closed;Philipp Hunold;Wed Feb 29 02:49:44 BRT 2012;Wed Mar 07 15:17:25 BRT 2012;7;
mislav;will_paginate;closed;null;Thu Feb 16 22:44:58 BRST 2012;Thu Feb 16 23:31:40 BRST 2012;0;
mislav;will_paginate;closed;Ji?í Chára;Tue Feb 14 04:57:49 BRST 2012;Tue Mar 27 07:24:31 BRT 2012;42;
mislav;will_paginate;closed;null;Wed Feb 01 14:56:56 BRST 2012;Wed Feb 08 10:50:02 BRST 2012;6;
