


myles;django-photo-gallery;closed;Thomas Schraitle;Sun Apr 08 09:39:31 BRT 2012;Mon Apr 09 12:57:54 BRT 2012;1;
drogus;apache-upload-progress-module;closed;null;Thu Jul 14 11:07:16 BRT 2011;Fri Jul 15 15:28:22 BRT 2011;1;
drogus;apache-upload-progress-module;closed;null;Sun May 29 12:48:07 BRT 2011;Fri Aug 26 18:56:22 BRT 2011;89;
drogus;apache-upload-progress-module;closed;Francisco Dalla Rosa Soares;Wed May 04 02:27:01 BRT 2011;Wed May 04 05:52:47 BRT 2011;0;
drogus;apache-upload-progress-module;open;null;Wed Mar 23 13:38:41 BRT 2011;null;1677;
drogus;apache-upload-progress-module;closed;null;Wed Mar 23 07:52:31 BRT 2011;Wed May 04 05:55:47 BRT 2011;41;
drogus;apache-upload-progress-module;closed;null;Mon Feb 28 08:26:13 BRT 2011;Fri Jul 15 20:39:30 BRT 2011;137;
drogus;apache-upload-progress-module;open;Doug Johnston;Thu Feb 24 22:19:10 BRT 2011;null;1703;
drogus;apache-upload-progress-module;closed;Julien Thomas;Tue Feb 22 22:51:09 BRT 2011;Tue Mar 22 21:35:47 BRT 2011;27;
drogus;apache-upload-progress-module;closed;null;Fri Feb 11 16:40:32 BRST 2011;Mon Jul 18 21:50:45 BRT 2011;157;
drogus;apache-upload-progress-module;closed;null;Thu Feb 10 11:15:15 BRST 2011;Wed Oct 12 20:14:06 BRT 2011;244;
drogus;apache-upload-progress-module;closed;null;Tue Feb 08 17:11:56 BRST 2011;Wed Oct 12 20:18:32 BRT 2011;246;
drogus;apache-upload-progress-module;open;null;Sun Jan 30 17:24:06 BRST 2011;null;1729;
drogus;apache-upload-progress-module;closed;null;Sun Jan 30 02:10:11 BRST 2011;Sun Jan 30 06:22:14 BRST 2011;0;
drogus;apache-upload-progress-module;closed;null;Sat Jan 29 14:42:46 BRST 2011;Thu Feb 03 00:23:47 BRST 2011;4;
drogus;apache-upload-progress-module;closed;null;Sat Jan 29 12:25:42 BRST 2011;Sun Jan 30 20:35:56 BRST 2011;1;
drogus;apache-upload-progress-module;closed;Jeff Girard;Wed Jan 26 13:25:19 BRST 2011;Wed Oct 12 20:29:17 BRT 2011;259;
drogus;apache-upload-progress-module;closed;Piotr Sarnacki;Sun Jan 16 10:41:10 BRST 2011;Sun Jan 30 16:36:56 BRST 2011;14;
drogus;apache-upload-progress-module;closed;null;Sat Jan 15 22:26:39 BRST 2011;Sun Jan 16 06:46:46 BRST 2011;0;
drogus;apache-upload-progress-module;closed;null;Sat Jan 15 04:37:23 BRST 2011;Sat Jan 15 07:22:44 BRST 2011;0;
drogus;apache-upload-progress-module;closed;null;Sat Jan 15 04:33:23 BRST 2011;Sat Jan 15 15:27:55 BRST 2011;0;
drogus;apache-upload-progress-module;closed;Nicolae Vl?descu;Thu Nov 04 13:28:55 BRST 2010;Wed Oct 12 20:31:49 BRT 2011;342;
drogus;apache-upload-progress-module;open;Tomasz Mieloch;Mon Aug 16 12:12:06 BRT 2010;null;1896;
drogus;apache-upload-progress-module;closed;Anton Trapp;Sun May 09 09:43:55 BRT 2010;Wed Oct 12 20:22:41 BRT 2011;521;
drogus;apache-upload-progress-module;closed;Erwan Barrier;Tue Apr 27 07:52:30 BRT 2010;Wed Oct 12 20:27:50 BRT 2011;533;
drogus;apache-upload-progress-module;closed;null;Mon Mar 08 19:52:22 BRT 2010;Thu Mar 11 12:50:42 BRT 2010;2;
drogus;apache-upload-progress-module;closed;Evan Worley;Sat Jan 23 17:52:04 BRST 2010;Tue Mar 23 09:49:25 BRT 2010;58;
drogus;apache-upload-progress-module;closed;Isaiah Peng;Tue Sep 01 04:43:06 BRT 2009;Wed Oct 12 20:26:45 BRT 2011;771;
drogus;apache-upload-progress-module;closed;Jonn Beames;Fri Jul 17 19:07:56 BRT 2009;Wed Oct 12 20:16:57 BRT 2011;817;







efalcao;clientperf;open;Matthew Swain;Wed Apr 24 20:48:39 BRT 2013;null;914;




gottcode;novprog;open;null;Fri Oct 12 15:36:32 BRT 2012;null;1108;
gottcode;novprog;closed;null;Sat Aug 25 22:46:48 BRT 2012;Wed Aug 29 18:21:18 BRT 2012;3;

gottcode;cutemaze;open;Michiel van der Blonk;Sat Mar 28 10:21:50 BRT 2015;null;211;
gottcode;cutemaze;open;Michiel van der Blonk;Sat Mar 28 09:56:36 BRT 2015;null;211;


gottcode;tetzle;closed;Kotori Itsuka;Sun Aug 02 04:43:59 BRT 2015;Wed Aug 05 08:52:52 BRT 2015;3;
gottcode;tetzle;closed;Mario Blättermann;Wed Feb 18 19:49:06 BRST 2015;Thu Feb 19 08:17:37 BRST 2015;0;
gottcode;tetzle;closed;shirish ;Wed May 16 14:23:35 BRT 2012;Wed May 16 15:27:37 BRT 2012;0;
gottcode;tetzle;closed;null;Sat Nov 19 06:38:36 BRST 2011;Tue May 15 15:36:38 BRT 2012;178;


brianjlandau;unobtrusive_date_picker;open;Jean-Loup Fenaux;Wed Oct 07 12:43:04 BRT 2009;null;2209;
brianjlandau;unobtrusive_date_picker;open;Robert Brown;Sun Sep 20 01:36:00 BRT 2009;null;2226;
brianjlandau;unobtrusive_date_picker;open;Ajaya Agrawalla;Fri Jul 31 13:56:19 BRT 2009;null;2277;









xwu;trait-o-matic;closed;cariaso;Thu Sep 10 09:32:59 BRT 2009;Sun Sep 20 22:39:08 BRT 2009;10;






















hotchpotch;hparser;open;Kenichi Saita;Fri Oct 23 13:19:12 BRST 2015;null;2;
hotchpotch;hparser;closed;Kenichi Saita;Sun Aug 10 04:49:49 BRT 2014;Sun Aug 10 21:43:42 BRT 2014;0;
hotchpotch;hparser;closed;Kenichi Saita;Wed Aug 08 13:58:11 BRT 2012;Thu Aug 09 01:52:32 BRT 2012;0;












