
skenney26;svg;skenney26;Sean Kenney;User;DEVELOPER;true;false;Thu Jul 17 03:12:51 BRT 2008
zachinglis;is_rateable;shorepound;Nathan Arnold;User;REPORTER;false;true;Mon Jul 08 16:30:20 BRT 2013
zachinglis;is_rateable;zachinglis;Zach Inglis;User;DEVELOPER;true;false;Thu Jul 17 12:50:36 BRT 2008
zachinglis;is_rateable;veezus;Veezus Kreist;User;DEVELOPER;true;false;Mon Aug 25 12:50:56 BRT 2008

sunny;pouce;herven;null;User;DEVELOPER;true;true;Wed Jul 16 12:55:18 BRT 2014
sunny;pouce;theamnesic;Guillaume M.;User;DEVELOPER;true;true;Tue Apr 24 09:54:17 BRT 2012
sunny;pouce;sunny;Sunny Ripert;User;DEVELOPER;true;false;Thu Jul 17 13:47:59 BRT 2008

look;acts_as_solr;roidrage;Mathias Meyer;User;DEVELOPER;true;false;Mon Sep 01 17:26:50 BRT 2008
look;acts_as_solr;tomafro;Tom Ward;User;DEVELOPER;true;false;Thu Jul 10 07:49:46 BRT 2008

garg;backuplog;garg;null;User;DEVELOPER;true;false;Thu Jul 17 17:01:04 BRT 2008

codeprimate;taskmanager;codeprimate;Patrick Morgan;User;DEVELOPER;true;false;Wed Jul 16 23:55:17 BRT 2008

jeremylightsmith;phpunit-tmbundle;jeremylightsmith;Jeremy Lightsmith;User;DEVELOPER;true;false;Thu Jul 17 14:55:38 BRT 2008
jeremylightsmith;phpunit-tmbundle;meritt;Alexey Simonenko;User;DEVELOPER;true;false;Mon Jul 14 09:10:37 BRT 2008

duritong;puppet-sshd;falexandrou;Fotis Alexandrou;User;DEVELOPER;true;true;Sat Sep 20 07:28:52 BRT 2014
duritong;puppet-sshd;deric;Tomas Barton;User;DEVELOPER;true;true;Sat Jan 25 10:23:27 BRST 2014
duritong;puppet-sshd;Arakmar;Yoann Laissus;User;REPORTER;false;true;Tue May 28 14:40:27 BRT 2013
duritong;puppet-sshd;mmoll;Michael Moll;User;DEVELOPER;true;true;Sat Feb 02 21:30:54 BRST 2013
duritong;puppet-sshd;mchugh19;Christian McHugh;User;REPORTER;false;true;Wed Feb 29 14:06:07 BRT 2012
duritong;puppet-sshd;duritong;duritong;User;DEVELOPER;true;false;Thu Dec 10 20:15:07 BRST 2009
duritong;puppet-sshd;varac;null;User;DEVELOPER;true;false;Tue Jan 08 21:01:15 BRST 2013
duritong;puppet-sshd;rhatto;null;User;DEVELOPER;true;false;Sun Dec 27 14:01:55 BRST 2009
duritong;puppet-sshd;lelutin;Gabriel Filion;User;DEVELOPER;true;false;Mon Dec 27 21:24:43 BRST 2010
duritong;puppet-sshd;micah;null;User;DEVELOPER;true;false;Fri Sep 26 17:57:59 BRT 2008
duritong;puppet-sshd;intrigeri;intrigeri;User;DEVELOPER;true;false;Sun Oct 03 14:56:04 BRT 2010
duritong;puppet-sshd;jcharaoui;Jerome Charaoui;User;DEVELOPER;true;false;Fri Dec 18 17:38:01 BRST 2009
duritong;puppet-sshd;pietro;null;User;DEVELOPER;true;false;Mon Oct 20 22:03:37 BRST 2008


shanev;youtube-g;tmm1;Aman Gupta;User;DEVELOPER;true;false;Sun Jun 08 01:26:29 BRT 2008
shanev;youtube-g;FiXato;Filip H.F. "FiXato" Slagter;User;DEVELOPER;true;false;Thu Jun 26 12:35:18 BRT 2008
shanev;youtube-g;mattetti;Matt Aimonetti;User;DEVELOPER;true;false;Wed Jun 11 02:42:53 BRT 2008

shanev;facebooker;mmangino;Mike Mangino;User;DEVELOPER;true;false;Fri Jun 27 09:33:17 BRT 2008



dksaarth;farsight2-msn-plugin;richardspiers;Richard Spiers;User;DEVELOPER;true;false;Mon Jul 21 16:38:26 BRT 2008

shanev;ambitious-facebook;shanev;Shane Vitarana;User;DEVELOPER;true;false;Thu Jul 17 15:49:16 BRT 2008

Artmi;ocastbar;Sobber;Alexander Borgerth;User;DEVELOPER;true;false;Thu Jul 17 15:49:10 BRT 2008

shanev;acts-as-most-popular;napcs;Brian Hogan / New Auburn Personal Computer Services;User;DEVELOPER;true;false;Wed Mar 18 14:04:24 BRT 2009

shanev;rails-stats;shanev;Shane Vitarana;User;DEVELOPER;true;false;Mon Aug 25 05:10:12 BRT 2008




Dawid;midori;binarydepth;Carlos;User;REPORTER;false;true;Mon Mar 17 00:33:24 BRT 2014
Dawid;midori;kalikiana;Christian Dywan;User;DEVELOPER;true;false;Sun Dec 16 20:20:24 BRST 2007

coreymartella;lucifer;coreymartella;Corey Martella;User;DEVELOPER;true;false;Thu Jul 17 19:05:34 BRT 2008
coreymartella;lucifer;jmckible;Jordan McKible;User;DEVELOPER;true;false;Tue Jun 17 14:06:29 BRT 2008



collin;poolparty;collin;collin;User;DEVELOPER;true;false;Thu Jul 17 18:20:01 BRT 2008
collin;poolparty;aeden;Anthony Eden;User;DEVELOPER;true;false;Wed Jun 04 00:24:17 BRT 2008
collin;poolparty;dfischer;Daniel Fischer;User;DEVELOPER;true;false;Fri May 30 04:26:51 BRT 2008
collin;poolparty;foca;Nicolás Sanguinetti;User;DEVELOPER;true;false;Fri May 09 00:21:09 BRT 2008

ptzn;utility-belt;schleyfox;Ben Hughes;User;DEVELOPER;true;false;Fri May 23 16:46:52 BRT 2008
ptzn;utility-belt;gilesbowkett;Giles;User;DEVELOPER;true;false;Tue Feb 26 16:27:51 BRT 2008



towski;radio;towski;towski;User;DEVELOPER;true;false;Thu Jul 17 19:49:39 BRT 2008



dasch;ruby-bencode;liudangyi;Dangyi Liu ???;User;REPORTER;true;true;Fri Sep 05 06:09:27 BRT 2014
dasch;ruby-bencode;msg7086;Xinyue Lu;User;REPORTER;true;true;Wed Sep 03 07:23:52 BRT 2014
dasch;ruby-bencode;icy;Ky-Anh Huynh;User;REPORTER;false;true;Tue Sep 02 22:30:56 BRT 2014
dasch;ruby-bencode;dasch;Daniel Schierbeck;User;DEVELOPER;true;true;Thu Jul 17 19:55:30 BRT 2008
dasch;ruby-bencode;jarthod;Adrien Jarthon;User;REPORTER;true;true;Thu May 01 15:37:16 BRT 2014
dasch;ruby-bencode;rawsyntax;Eric Himmelreich;User;DEVELOPER;true;true;Mon Feb 10 14:18:53 BRST 2014
dasch;ruby-bencode;anatol;Anatol Pomozov;User;DEVELOPER;true;true;Tue Dec 17 21:04:17 BRST 2013
dasch;ruby-bencode;Dirklectisch;Dirk Geurs;User;DEVELOPER;true;true;Tue Mar 05 14:43:25 BRT 2013
dasch;ruby-bencode;dancres;Dan Creswell;User;REPORTER;true;true;Sun Jul 29 04:05:48 BRT 2012
dasch;ruby-bencode;dsmalko;Dmitriy Smalko;User;REPORTER;false;true;Thu Dec 01 09:05:58 BRST 2011
dasch;ruby-bencode;ianlevesque;Ian Levesque;User;DEVELOPER;true;true;Tue Jun 14 16:33:53 BRT 2011
dasch;ruby-bencode;0bfuscate;null;User;REPORTER;false;true;Thu Jan 14 05:41:58 BRST 2010
dasch;ruby-bencode;blatyo;Allen Madsen;User;DEVELOPER;true;false;Mon Feb 01 23:05:51 BRST 2010
dasch;ruby-bencode;mikehodgson;Mike Hodgson;User;DEVELOPER;true;false;Sun May 17 17:11:35 BRT 2009

robertkrimen;Doc-Simply;robertkrimen;Robert Krimen;User;DEVELOPER;true;false;Thu Jul 17 19:59:40 BRT 2008

sbenhaim;tm-ctags-tmbundle;jayKayEss;Justin Kerr Sheckler;User;REPORTER;false;true;Wed Apr 27 16:48:45 BRT 2011
sbenhaim;tm-ctags-tmbundle;dsidorov;Denis Sidorov;User;REPORTER;false;true;Tue Jul 07 10:57:33 BRT 2009
sbenhaim;tm-ctags-tmbundle;selahb;null;User;DEVELOPER;true;false;Thu Jul 10 13:28:53 BRT 2008

ijcd;auto_admin;ijcd;Ian Duggan;User;DEVELOPER;true;false;Thu Jul 17 19:11:13 BRT 2008
ijcd;auto_admin;baldowl;Emanuele Vicentini;User;DEVELOPER;true;false;Sat Jun 28 03:26:14 BRT 2008
ijcd;auto_admin;jcnetdev;Jacques Crocker;User;DEVELOPER;true;false;Tue Sep 16 05:36:09 BRT 2008
ijcd;auto_admin;matthewd;Matthew Draper;User;DEVELOPER;true;false;Sat Jul 15 05:51:43 BRT 2006

knym;aintablog;nakajima;Pat Nakajima;User;DEVELOPER;true;false;Fri Mar 07 04:02:27 BRT 2008

eric;munger;eric;Eric Lindvall;User;DEVELOPER;true;false;Fri Jul 18 02:08:48 BRT 2008
eric;munger;schacon;Scott Chacon;User;DEVELOPER;true;false;Wed Apr 16 18:47:32 BRT 2008
eric;munger;elskwid;Don Morrison;User;DEVELOPER;true;false;Fri Jun 06 21:44:38 BRT 2008
eric;munger;bitbckt;Brandon Mitchell;User;DEVELOPER;true;false;Sat Apr 26 19:19:39 BRT 2008


zdennis;ar-extensions;dgmdan;Dan Madere;User;REPORTER;false;true;Fri Dec 16 02:28:53 BRST 2011
zdennis;ar-extensions;soey;Samuel Oey;User;REPORTER;false;true;Wed Aug 01 06:27:47 BRT 2012
zdennis;ar-extensions;mariozaizar;Mario Zaizar;User;REPORTER;false;true;Thu Jul 12 14:45:16 BRT 2012
zdennis;ar-extensions;pravinthakare;null;User;REPORTER;false;true;Mon Apr 09 09:19:59 BRT 2012
zdennis;ar-extensions;lothar59;null;User;REPORTER;false;true;Thu Oct 20 07:55:45 BRST 2011
zdennis;ar-extensions;zdennis;Zach Dennis;User;DEVELOPER;true;true;Thu Jul 17 22:46:56 BRT 2008
zdennis;ar-extensions;ghazel;Greg Hazel;User;REPORTER;false;true;Mon Oct 05 17:46:14 BRT 2009
zdennis;ar-extensions;petercutting;null;User;REPORTER;false;true;Wed Nov 17 07:44:53 BRST 2010
zdennis;ar-extensions;blackrat;Paul McKibbin;User;REPORTER;false;true;Thu Oct 28 07:29:50 BRST 2010
zdennis;ar-extensions;chamnap;Chamnap Chhorn;User;REPORTER;false;true;Sun Sep 19 23:49:50 BRT 2010
zdennis;ar-extensions;jmartinmmi;null;User;REPORTER;false;true;Fri Jan 22 15:10:56 BRST 2010
zdennis;ar-extensions;rud;Laust Rud Jacobsen;User;REPORTER;false;true;Mon Nov 09 12:42:19 BRST 2009
zdennis;ar-extensions;bvandenbos;Ben VandenBos;User;REPORTER;false;true;Mon Aug 17 18:00:09 BRT 2009
zdennis;ar-extensions;sheuer;Stephen Heuer;User;REPORTER;false;true;Mon Jul 20 17:07:06 BRT 2009
zdennis;ar-extensions;cherring;Chris Herring;User;REPORTER;false;true;Tue Jul 07 23:49:34 BRT 2009
zdennis;ar-extensions;michaelglass;Michael Glass;User;REPORTER;false;true;Mon Jun 01 15:39:20 BRT 2009
zdennis;ar-extensions;blythedunham;Blythe J Dunham;User;DEVELOPER;true;false;Sun Apr 05 18:05:00 BRT 2009

hvammen;messagemap;stianpr;Stian Prestholdt;User;DEVELOPER;true;false;Wed Jul 16 08:55:44 BRT 2008

python-ottawa;opag;TkTech;Tyler Kennedy;User;DEVELOPER;true;true;Mon Jun 02 19:47:00 BRT 2014
python-ottawa;opag;bjb;Brenda J. Butler;User;DEVELOPER;true;true;Sat Jan 26 16:06:30 BRST 2013
python-ottawa;opag;wardi;Ian Ward;User;DEVELOPER;true;true;Tue Jul 31 11:39:17 BRT 2012
python-ottawa;opag;msoulier;Michael P. Soulier;User;DEVELOPER;true;true;Thu Jul 17 22:09:15 BRT 2008
python-ottawa;opag;mgrouchy;Mike Grouchy;User;REPORTER;true;true;Thu Aug 30 15:51:28 BRT 2012
python-ottawa;opag;myusuf3;Mahdi Yusuf;User;REPORTER;true;true;Thu Aug 30 15:49:36 BRT 2012

adamhjk;svn-replicate;adamhjk;Adam Jacob;User;DEVELOPER;true;false;Thu Jan 10 04:10:44 BRST 2008

pjf;proc-uid;pjf;Paul Fenwick;User;DEVELOPER;true;false;Tue May 18 10:27:16 BRT 2004


fmcingvale;cherrypy_gae;fmcingvale;null;User;DEVELOPER;true;false;Tue Jul 08 23:02:35 BRT 2008



lunarsway;lunarsway;popeix;Preston Pope;User;DEVELOPER;true;false;Tue Sep 22 04:25:51 BRT 2009
lunarsway;lunarsway;lunarsway;null;User;DEVELOPER;true;false;Fri Jul 18 00:23:39 BRT 2008

llimllib;viewji;llimllib;Bill Mill;User;DEVELOPER;true;false;Fri Jun 12 09:39:58 BRT 2009

evanphx;gx;veganstraightedge;Shane Becker;User;REPORTER;false;true;Fri Jan 18 21:22:41 BRST 2013
evanphx;gx;defunkt;Chris Wanstrath;User;REPORTER;false;true;Wed Mar 23 02:34:19 BRT 2011
evanphx;gx;evanphx;Evan Phoenix;User;DEVELOPER;true;false;Tue Jan 19 22:05:37 BRST 2010
evanphx;gx;indirect;André Arko;User;DEVELOPER;true;false;Thu Jan 28 02:22:23 BRST 2010

erwan;mixbar;erwan;Erwan Loisant;User;DEVELOPER;true;false;Fri Jul 18 01:28:46 BRT 2008

briandoll;auto_complete;bdoll;null;User;DEVELOPER;true;false;Sat Aug 16 18:01:18 BRT 2008
briandoll;auto_complete;briandoll;Brian Doll;User;DEVELOPER;true;false;Fri Jul 18 16:51:59 BRT 2008
briandoll;auto_complete;arturaz;Art?ras Šlajus;User;DEVELOPER;true;false;Wed Oct 01 11:12:57 BRT 2008
briandoll;auto_complete;dhh;David Heinemeier Hansson;User;DEVELOPER;true;false;Mon Sep 10 23:55:47 BRT 2007

sikachu;kickstart-rails;sikachu;Prem Sichanugrist;User;DEVELOPER;true;false;Thu May 08 12:43:17 BRT 2008
sikachu;kickstart-rails;mislav;Mislav Marohni?;User;DEVELOPER;true;false;Sun Apr 27 18:47:24 BRT 2008

pyrat;wee_date_picker;pyrat;Alastair Brunton;User;DEVELOPER;true;false;Fri Jul 18 04:50:07 BRT 2008

tohchye;dm-more;tohchye;Daniel Goh;User;DEVELOPER;true;false;Fri Jul 18 05:21:46 BRT 2008
tohchye;dm-more;bernerdschaefer;Bernerd Schaefer;User;DEVELOPER;true;false;Wed Apr 30 02:36:09 BRT 2008
tohchye;dm-more;markbates;Mark Bates;User;DEVELOPER;true;false;Fri May 30 19:36:37 BRT 2008
tohchye;dm-more;hassox;Daniel Neighman;User;DEVELOPER;true;false;Fri Jun 27 11:39:53 BRT 2008
tohchye;dm-more;wycats;Yehuda Katz;User;DEVELOPER;true;false;Tue Apr 15 17:09:51 BRT 2008
tohchye;dm-more;antw;Anthony Williams;User;DEVELOPER;true;false;Thu Jul 10 16:38:55 BRT 2008
tohchye;dm-more;namelessjon;Jon;User;DEVELOPER;true;false;Sat Jun 14 18:55:17 BRT 2008
tohchye;dm-more;paul;Paul Sadauskas;User;DEVELOPER;true;false;Tue Jul 08 19:45:00 BRT 2008
tohchye;dm-more;somebee;Sindre Aarsaether;User;DEVELOPER;true;false;Sat Apr 26 10:55:12 BRT 2008
tohchye;dm-more;benburkert;Ben Burkert;User;DEVELOPER;true;false;Mon Apr 07 16:33:51 BRT 2008
tohchye;dm-more;sam;Sam Smoot;User;DEVELOPER;true;false;Mon Mar 10 18:28:32 BRT 2008
tohchye;dm-more;ndarilek;Nolan Darilek;User;DEVELOPER;true;false;Sun Jun 08 18:09:56 BRT 2008
tohchye;dm-more;david;David Leal;User;DEVELOPER;true;false;Wed Apr 09 10:52:04 BRT 2008
tohchye;dm-more;wayneeseguin;Wayne E. Seguin;User;DEVELOPER;true;false;Sat Jun 14 23:29:12 BRT 2008
tohchye;dm-more;postmodern;Postmodern;User;DEVELOPER;true;false;Sat Jun 14 02:37:36 BRT 2008
tohchye;dm-more;myabc;Alex Coles;User;DEVELOPER;true;false;Thu May 08 10:46:07 BRT 2008
tohchye;dm-more;michaelklishin;Michael Klishin;User;DEVELOPER;true;false;Wed May 14 17:26:13 BRT 2008
tohchye;dm-more;mayo;Mayo Jordanov;User;DEVELOPER;true;false;Sun May 11 04:46:10 BRT 2008
tohchye;dm-more;sporkmonger;Bob Aman;User;DEVELOPER;true;false;Fri May 09 14:47:16 BRT 2008
tohchye;dm-more;advany;Abdul-Rahman Advany;User;DEVELOPER;true;false;Sun May 18 16:21:22 BRT 2008
tohchye;dm-more;joe;null;User;DEVELOPER;true;false;Tue May 13 16:24:41 BRT 2008
tohchye;dm-more;jackdempsey;jack dempsey;User;DEVELOPER;true;false;Thu May 15 16:39:08 BRT 2008
tohchye;dm-more;myobie;Nathan;User;DEVELOPER;true;false;Thu May 08 16:54:47 BRT 2008
tohchye;dm-more;cypher;Markus Prinz;User;DEVELOPER;true;false;Tue May 13 14:31:36 BRT 2008
tohchye;dm-more;pdlug;Paul Dlug;User;DEVELOPER;true;false;Tue May 13 14:31:36 BRT 2008
tohchye;dm-more;foysavas;Foy Savas;User;DEVELOPER;true;false;Tue Apr 29 12:25:01 BRT 2008
tohchye;dm-more;be9;Oleg Dashevskii;User;DEVELOPER;true;false;Mon May 05 13:37:23 BRT 2008
tohchye;dm-more;mattetti;Matt Aimonetti;User;DEVELOPER;true;false;Mon May 05 02:18:19 BRT 2008
tohchye;dm-more;giom;Guillaume Maury;User;DEVELOPER;true;false;Mon Apr 28 17:47:44 BRT 2008
tohchye;dm-more;andykent;Andy Kent;User;DEVELOPER;true;false;Sun Apr 27 12:18:55 BRT 2008

kjk;web-blog;godep-migrator;null;User;REPORTER;false;true;Wed Sep 10 22:45:07 BRT 2014
kjk;web-blog;Alfonsib;null;User;DEVELOPER;true;true;Sat Jul 06 17:01:13 BRT 2013
kjk;web-blog;streger;Stjepan;User;DEVELOPER;true;true;Mon Feb 25 14:24:58 BRT 2013
kjk;web-blog;quelbs;Michael;User;DEVELOPER;true;true;Tue Jan 18 08:39:42 BRST 2011
kjk;web-blog;newthinker;newthinker;User;REPORTER;false;true;Thu Feb 07 00:01:32 BRST 2013
kjk;web-blog;kdemon;Umidjon Almasov;User;DEVELOPER;true;true;Sun Jan 06 18:13:43 BRST 2013
kjk;web-blog;smarquespt;Sérgio Marques;User;DEVELOPER;true;true;Fri Dec 28 09:41:13 BRST 2012
kjk;web-blog;Azpidatziak;Xabier Aramendi;User;DEVELOPER;true;true;Thu Apr 12 06:49:00 BRT 2012
kjk;web-blog;shobra;null;User;DEVELOPER;true;true;Thu Sep 22 15:35:43 BRT 2011
kjk;web-blog;azag0;Jan Hermann;User;REPORTER;false;true;Tue Jul 26 17:02:18 BRT 2011
kjk;web-blog;justdeath;Nikolay Ikonomov;User;DEVELOPER;true;true;Mon Jul 25 07:10:14 BRT 2011
